Id,Score,ViewCount,ImageUrl,AltText,NewBody
78646616,0,12,"['https://i.sstatic.net/lcQHB9F7.png', ' https://i.sstatic.net/3GK3DUVl.png']",,
78645940,0,26,['https://i.sstatic.net/YjFRPpwx.png'],,
78645927,1,50,['https://i.sstatic.net/6502DJsB.png'],,
78644764,-1,24,['https://i.sstatic.net/6HKLeoTB.png'],,
78644195,1,34,['https://i.sstatic.net/j7tR13Fdm.png'],,
78644182,0,20,['https://i.sstatic.net/v8UZXJAo.png'],,
78644059,0,44,['https://i.sstatic.net/9SVguqKN.png'],,
78644036,1,26,['https://i.sstatic.net/Me7HGapB.png'],,
78643301,0,28,['https://i.sstatic.net/v80RvAto.png'],,
78642892,-1,64,"['https://i.sstatic.net/AJDfZ508.png', ' https://i.sstatic.net/z88UVk5n.png', ' https://i.sstatic.net/M6lE9Q5p.png']",,
78642593,-2,21,['https://i.sstatic.net/Qs4iNH2n.png'],,
78641475,0,27,['https://i.sstatic.net/KgDI81Gy.jpg'],,
78640839,0,14,['https://i.sstatic.net/JpgvhKr2.png'],,
78640600,1,49,['https://i.sstatic.net/3K6L7WTl.png'],,
78639185,-1,20,"['https://i.sstatic.net/82yBrQBT.png', ' https://i.sstatic.net/DPCmoj4E.png']",,
78639094,-1,269,"['https://i.sstatic.net/Jf1DBoK2.png', ' https://i.sstatic.net/pEhGVufg.png', ' https://i.sstatic.net/oTFilY0A.png']",,
78638284,-1,31,['https://i.sstatic.net/5q2FouHO.png'],,
78638246,-2,75,['https://i.sstatic.net/1967iip3.png'],,
78638233,1,71,"['https://i.sstatic.net/A2QequF8.png', ' https://i.sstatic.net/UmJT16GE.png']",,
78637893,-1,34,['https://i.sstatic.net/9HRJDEKN.png'],,
78637760,2,53,['https://i.sstatic.net/TMxi7ypJ.png'],,
78637280,1,20,"['https://i.sstatic.net/nuuugiwP.png', ' https://i.sstatic.net/pz3uc6fg.png']",,
78636598,2,43,['https://i.sstatic.net/8Gvy0rTK.png'],,
